tid,toi,toidisplay,tfopwg_disp,disposition_group,pl_orbper,pl_rade,st_tmag,st_teff,st_rad,missing_feature_count,missing_feature_names,rowupdate,release_date
123106490,2874.01,TOI-2874.01,FP,false_positive_or_alarm,3.3004862,8.5365984,11.3002,6408.0,1.30784,0,,2024-09-08 10:08:02,2026-05-15 16:14:29
385658469,2875.01,TOI-2875.01,PC,candidate_for_prediction,3.4142143,15.9231,12.5365,8573.0,2.72,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
10827386,2876.01,TOI-2876.01,PC,candidate_for_prediction,6.2996307,9.36407,11.7038,5137.0,0.92,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
348477542,2877.01,TOI-2877.01,PC,candidate_for_prediction,3.4074188,17.1042,13.0814,6237.0,1.24,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
4999813,2878.01,TOI-2878.01,FP,false_positive_or_alarm,2.0849517,4.65169,12.6063,6163.0,0.94,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
146836153,2879.01,TOI-2879.01,FP,false_positive_or_alarm,2.3252878,12.8754,13.3181,5744.0,1.1,0,,2024-09-10 10:08:02,2026-05-15 16:14:29
47316976,288.01,TOI-288.01,PC,candidate_for_prediction,711.7473963,9.065007,8.97174,6530.0,2.02087,0,,2025-08-12 12:03:45,2026-05-15 16:14:29
344140617,2880.01,TOI-2880.01,PC,candidate_for_prediction,4.7799716,13.1891,13.2873,6605.0,1.79,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
320541238,2881.01,TOI-2881.01,PC,candidate_for_prediction,2.9301843,13.1989,13.2222,6032.0,1.65,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
142405475,2882.01,TOI-2882.01,PC,candidate_for_prediction,2.0083269,4.99539,13.1101,6656.0,1.28,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
361176558,3144.01,TOI-3144.01,PC,candidate_for_prediction,3.7724947,13.5487,13.1885,6623.0,1.33,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
360816296,3145.01,TOI-3145.01,PC,candidate_for_prediction,3.5505931,17.9407,12.1258,4803.0,1.34,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
360816293,3146.01,TOI-3146.01,FP,false_positive_or_alarm,3.5506084,14.4767,12.2077,5083.0,1.13,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
359572563,3147.01,TOI-3147.01,PC,candidate_for_prediction,1.5256634,,13.0237,5230.5,,2,pl_rade;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
323980895,3148.01,TOI-3148.01,PC,candidate_for_prediction,4.2814436,10.6824,11.681,5097.8,1.36,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
296670796,3149.01,TOI-3149.01,PC,candidate_for_prediction,1.1542402,,13.4841,4136.6,,2,pl_rade;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
66356824,315.01,TOI-315.01,FP,false_positive_or_alarm,3.55562,11.1675,12.4245,5671.0,1.34,0,,2022-10-20 16:02:02,2026-05-15 16:14:29
195256633,3150.01,TOI-3150.01,PC,candidate_for_prediction,5.3430663,21.0355,12.0697,7822.0,2.15,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
36607746,3151.01,TOI-3151.01,PC,candidate_for_prediction,1.7257597,15.2188,12.6499,7235.0,1.27,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
467484304,3152.01,TOI-3152.01,PC,candidate_for_prediction,0.7815064,11.9775,13.3551,7691.0,1.37,0,,2025-08-11 12:03:48,2026-05-15 16:14:29
466318137,3153.01,TOI-3153.01,FP,false_positive_or_alarm,1.1216021,,11.2789,3294.0,,2,pl_rade;st_rad,2024-07-24 12:02:44,2026-05-15 16:14:29
465176038,3154.01,TOI-3154.01,PC,candidate_for_prediction,4.0333818,13.1197,12.802,6347.3,1.73,0,,2024-09-08 10:08:02,2026-05-15 16:14:29
457272901,3155.01,TOI-3155.01,APC,candidate_for_prediction,4.6492201,8.96002,11.6104,5110.0,0.93,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
457110913,3156.01,TOI-3156.01,APC,candidate_for_prediction,0.7463239,19.7419,13.2294,5132.0,1.04,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
456962262,3157.01,TOI-3157.01,PC,candidate_for_prediction,2.8823183,,13.6244,5068.9,,2,pl_rade;st_rad,2025-07-22 12:04:25,2026-05-15 16:14:29
451254008,3158.01,TOI-3158.01,PC,candidate_for_prediction,6.8561604,14.3692,12.534,6282.0,2.01,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
449549170,3159.01,TOI-3159.01,FP,false_positive_or_alarm,1.4753526,5.30533,11.2925,5732.0,1.81,0,,2025-12-11 16:00:01,2026-05-15 16:14:29
8988289,316.01,TOI-316.01,APC,candidate_for_prediction,13.32379,28.7396,13.1186,4312.0,0.84,0,,2022-07-20 12:03:42,2026-05-15 16:14:29
440872576,3160.01,TOI-3160.01,PC,candidate_for_prediction,3.9712794,15.3233,11.9333,6200.0,1.62,0,,2024-09-01 12:02:56,2026-05-15 16:14:29
293978434,3420.01,TOI-3420.01,FP,false_positive_or_alarm,1.5971426,7.98964,12.6746,6263.0,1.77,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
145023816,3421.01,TOI-3421.01,PC,candidate_for_prediction,2.8389301,16.9204,13.35,7132.0,2.14,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
286099128,3422.01,TOI-3422.01,KP,confirmed_or_known_planet,3.7788779,13.9739571,12.239,5817.7,1.02896,0,,2024-09-07 10:08:02,2026-05-15 16:14:29
144970275,3423.01,TOI-3423.01,FP,false_positive_or_alarm,2.5313424,,12.6067,9598.5,,2,pl_rade;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
283702603,3424.01,TOI-3424.01,FP,false_positive_or_alarm,0.6691882,9.96751,12.5772,6623.0,1.76,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
144682439,3425.01,TOI-3425.01,PC,candidate_for_prediction,0.765415,8.47671,13.0391,6034.0,1.51,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
